"Reporting starts","Reporting ends","Ad name","Ad delivery","Attribution setting",Results,"Result indicator",Reach,Frequency,"Cost per results","Ad set budget","Ad set budget type","Amount spent (USD)",Ends,"Quality ranking","Engagement rate ranking","Conversion rate ranking",Impressions,"CPM (cost per 1,000 impressions) (USD)","Link clicks",shop_clicks,"CPC (cost per link click) (USD)","CTR (link click-through rate)","Clicks (all)","CTR (all)","CPC (all) (USD)","Landing page views","Cost per landing page view (USD)","3-second video plays","3-second video plays rate per impressions",ThruPlays
2026-04-16,2026-05-15,"AD 1",not_delivering,"7-day click or 1-day view",8,actions:leadgen.other,2080,1.551923,43.14375,"Using campaign budget",0,345.15,Ongoing,"Below average - Bottom 35% of ads","Below average - Bottom 35% of ads","Below average - Bottom 35% of ads",3228,106.923792,54,,6.391667,1.672862,77,2.385378,4.482468,3,115.05,698,21.623296,215
2026-04-16,2026-05-15,"AD 2",inactive,"7-day click or 1-day view",,,249,1.128514,,"Using campaign budget",0,16.15,Ongoing,-,-,-,281,57.47331,2,,8.075,0.711744,7,2.491103,2.307143,,,50,17.793594,14
2026-04-16,2026-05-15,"AD 3",inactive,"7-day click or 1-day view",,,368,1.108696,,"Using campaign budget",0,22.65,Ongoing,-,-,-,408,55.514706,7,,3.235714,1.715686,10,2.45098,2.265,,,75,18.382353,37
2026-04-16,2026-05-15,"AD 1",not_delivering,"7-day click or 1-day view",,,524,1.433206,,"Using campaign budget",0,121.99,Ongoing,"Below average - Bottom 35% of ads","Below average - Bottom 35% of ads","Below average - Bottom 35% of ads",751,162.436751,19,,6.420526,2.52996,24,3.195739,5.082917,1,121.99,177,23.568575,53
2026-04-16,2026-05-15,"AD 3",not_delivering,"7-day click or 1-day view",,,48,1.166667,,"Using campaign budget",0,8.34,Ongoing,-,-,-,56,148.928571,1,,8.34,1.785714,1,1.785714,8.34,,,12,21.428571,5
2026-04-16,2026-05-15,"AD 2",not_delivering,"7-day click or 1-day view",,,134,1.179104,,"Using campaign budget",0,8.08,Ongoing,-,-,-,158,51.139241,1,,8.08,0.632911,1,0.632911,8.08,,,30,18.987342,12
2026-04-16,2026-05-15,"AD 2",not_delivering,"7-day click or 1-day view",,,135,1.103704,,"Using campaign budget",0,10.33,Ongoing,-,-,-,149,69.328859,5,,2.066,3.355705,7,4.697987,1.475714,,,36,24.161074,13
2026-04-16,2026-05-15,"AD 1",inactive,"7-day click or 1-day view",1,actions:leadgen.other,819,1.148962,61.29,"Using campaign budget",0,61.29,Ongoing,"Below average - Bottom 35% of ads",Average,"Below average - Bottom 35% of ads",941,65.132837,11,,5.571818,1.168969,18,1.912859,3.405,,,179,19.022317,57
2026-04-16,2026-05-15,"AD 1",not_delivering,"7-day click or 1-day view",5,actions:leadgen.other,1126,1.278863,37.952,"Using campaign budget",0,189.76,Ongoing,"Below average - Bottom 35% of ads",Average,"Below average - Bottom 35% of ads",1440,131.777778,32,,5.93,2.222222,44,3.055556,4.312727,4,47.44,315,21.875,104
2026-04-16,2026-05-15,"AD 3",not_delivering,"7-day click or 1-day view",,,231,1.177489,,"Using campaign budget",0,26.57,Ongoing,-,-,-,272,97.683824,8,,3.32125,2.941176,12,4.411765,2.214167,,,59,21.691176,23
2026-04-16,2026-05-15,"AD 2",not_delivering,"7-day click or 1-day view",,,608,1.180921,,"Using campaign budget",0,70.34,Ongoing,"Below average - Bottom 35% of ads",Average,"Below average - Bottom 35% of ads",718,97.966574,11,,6.394545,1.532033,20,2.785515,3.517,,,131,18.245125,52
2026-04-16,2026-05-15,"LP Traffic Ad 1",active,"7-day click or 1-day view",432,actions:omni_landing_page_view,18128,1.720543,0.47266204,5,Daily,204.19,Ongoing,"Below average - Bottom 35% of ads","Above average","Below average - Bottom 35% of ads",31190,6.54665,528,,0.386723,1.69285,959,3.074703,0.21292,432,0.472662,4554,14.600834,1212
2026-04-16,2026-05-15,"AD 1",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,308,1.337662,,"Using campaign budget",0,19.09,Ongoing,-,-,-,412,46.334951,8,,2.38625,1.941748,14,3.398058,1.363571,6,3.181667,131,31.796117,38
2026-04-16,2026-05-15,"AD 3",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,770,1.327273,,"Using campaign budget",0,40.7,Ongoing,"Below average - Bottom 20% of ads","Above average","Below average - Bottom 35% of ads",1022,39.823875,21,,1.938095,2.054795,45,4.403131,0.904444,16,2.54375,310,30.332681,92
2026-04-16,2026-05-15,"AD 2",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,401,1.189526,,"Using campaign budget",0,16.07,Ongoing,-,-,-,477,33.689727,8,,2.00875,1.677149,10,2.096436,1.607,7,2.295714,135,28.301887,38
2026-04-16,2026-05-15,"AD 3",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,653,1.267994,,"Using campaign budget",0,47.13,Ongoing,"Below average - Bottom 35% of ads","Above average","Below average - Bottom 35% of ads",828,56.92029,18,,2.618333,2.173913,34,4.10628,1.386176,15,3.142,241,29.10628,75
2026-04-16,2026-05-15,"AD 2",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",1,actions:offsite_conversion.fb_pixel_lead,403,1.186104,14.59,"Using campaign budget",0,14.59,Ongoing,-,-,-,478,30.523013,5,,2.918,1.046025,10,2.09205,1.459,4,3.6475,142,29.707113,45
2026-04-16,2026-05-15,"AD 1",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,258,1.406977,,"Using campaign budget",0,9.88,Ongoing,-,-,-,363,27.217631,3,,3.293333,0.826446,13,3.581267,0.76,3,3.293333,87,23.966942,31
2026-04-16,2026-05-15,"AD 2",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,998,1.303607,,"Using campaign budget",0,65.06,Ongoing,"Below average - Bottom 35% of ads",Average,"Below average - Bottom 35% of ads",1301,50.007686,16,,4.06625,1.229823,40,3.074558,1.6265,10,6.506,351,26.979247,124
2026-04-16,2026-05-15,"AD 1",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,333,1.435435,,"Using campaign budget",0,22.11,Ongoing,-,-,-,478,46.25523,4,,5.5275,0.83682,10,2.09205,2.211,3,7.37,130,27.196653,44
2026-04-16,2026-05-15,"AD 3",not_delivering,"7-day click, 1-day view, or 1-day engaged-view",,,417,1.352518,,"Using campaign budget",0,26.45,Ongoing,"Below average - Bottom 20% of ads","Above average","Below average - Bottom 35% of ads",564,46.897163,19,,1.392105,3.368794,34,6.028369,0.777941,16,1.653125,192,34.042553,66
2026-04-16,2026-05-15,"AD 1",not_delivering,"7-day click or 1-day view",,,278,1.330935,,"Using campaign budget",0,46.28,Ongoing,-,-,-,370,125.081081,6,,7.713333,1.621622,10,2.702703,4.628,,,91,24.594595,28
2026-04-16,2026-05-15,"AD 2",not_delivering,"7-day click or 1-day view",,,91,1.043956,,"Using campaign budget",0,10.02,Ongoing,-,-,-,95,105.473684,2,,5.01,2.105263,7,7.368421,1.431429,,,23,24.210526,9
2026-04-16,2026-05-15,"AD 3",not_delivering,"7-day click or 1-day view",,,16,1.1875,,"Using campaign budget",0,5.18,Ongoing,-,-,-,19,272.631579,,,,,0,0,0,,,5,26.315789,3
2026-04-16,2026-05-15,"SM Traffic Ad 1",active,"1-day click",525,total_profile_visits,8671,1.781801,0.39047619,5,Daily,205,Ongoing,"Below average - Bottom 35% of ads",-,-,15450,13.268608,427,,0.480094,2.763754,629,4.071197,0.325914,2,102.5,2914,18.860841,798
2026-04-16,2026-05-15,"AD 3",not_delivering,"7-day click or 1-day view",,,175,1.154286,,"Using campaign budget",0,13.63,Ongoing,-,-,-,202,67.475248,1,,13.63,0.49505,1,0.49505,13.63,,,36,17.821782,15
2026-04-16,2026-05-15,"AD 2",not_delivering,"7-day click or 1-day view",,,330,1.206061,,10,Daily,35.22,Ongoing,-,-,-,398,88.492462,4,,8.805,1.005025,6,1.507538,5.87,,,61,15.326633,21
2026-04-16,2026-05-15,"AD 1",not_delivering,"7-day click or 1-day view",,,270,1.155556,,15,Daily,30.17,Ongoing,-,-,-,312,96.698718,6,,5.028333,1.923077,8,2.564103,3.77125,,,69,22.115385,28
2026-04-16,2026-05-15,"AD 2",not_delivering,"7-day click or 1-day view",,,162,1.061728,,15,Daily,12.26,Ongoing,-,-,-,172,71.27907,4,,3.065,2.325581,5,2.906977,2.452,,,33,19.186047,8
2026-04-16,2026-05-15,"AD 1",not_delivering,"7-day click or 1-day view",6,actions:leadgen.other,1940,1.345361,41.67333333,20,Daily,250.04,Ongoing,"Below average - Bottom 35% of ads",Average,"Below average - Bottom 35% of ads",2610,95.800766,64,,3.906875,2.452107,93,3.563218,2.688602,4,62.51,564,21.609195,190
2026-04-16,2026-05-15,"AD 3",not_delivering,"7-day click or 1-day view",1,actions:leadgen.other,721,1.098474,75.71,10,Daily,75.71,Ongoing,"Below average - Bottom 35% of ads",Average,"Below average - Bottom 35% of ads",792,95.593434,15,,5.047333,1.893939,25,3.156566,3.0284,,,165,20.833333,61
2026-04-16,2026-05-15,"AD 3",not_delivering,"7-day click or 1-day view",,,25,1,,15,Daily,4.51,Ongoing,-,-,-,25,180.4,2,,2.255,8,2,8,2.255,,,8,32,2
2026-04-16,2026-05-15,"AD 1",not_delivering,"7-day click or 1-day view",,,76,1.065789,,15,Daily,6.77,Ongoing,-,-,-,81,83.580247,1,,6.77,1.234568,1,1.234568,6.77,,,16,19.753086,5
2026-04-16,2026-05-15,"AD 3",not_delivering,"7-day click or 1-day view",,,5,1,,15,Daily,0.07,Ongoing,-,-,-,5,14,1,,0.07,20,1,20,0.07,,,2,40,1
2026-04-16,2026-05-15,"AD 2",not_delivering,"7-day click or 1-day view",,,279,1.236559,,15,Daily,46.05,Ongoing,-,-,-,345,133.478261,5,,9.21,1.449275,7,2.028986,6.578571,,,64,18.550725,13
2026-04-16,2026-05-15,"AD 1",not_delivering,"7-day click or 1-day view",,,74,1.067568,,"Using campaign budget",0,9.88,Ongoing,-,-,-,79,125.063291,2,,4.94,2.531646,4,5.063291,2.47,,,21,26.582278,7
2026-04-16,2026-05-15,"AD 3",not_delivering,"7-day click or 1-day view",,,59,1.033898,,"Using campaign budget",0,11.39,Ongoing,-,-,-,61,186.721311,2,,5.695,3.278689,2,3.278689,5.695,,,8,13.114754,
2026-04-16,2026-05-15,"AD 2",not_delivering,"7-day click or 1-day view",,,517,1.172147,,"Using campaign budget",0,43.31,Ongoing,"Below average - Bottom 35% of ads",Average,"Below average - Bottom 35% of ads",606,71.468647,15,,2.887333,2.475248,21,3.465347,2.062381,,,115,18.976898,40
2026-04-16,2026-05-15,"AD 2",not_delivering,"7-day click or 1-day view",1,actions:leadgen.other,625,1.1152,69.48,"Using campaign budget",0,69.48,Ongoing,"Below average - Bottom 35% of ads",Average,"Below average - Bottom 35% of ads",697,99.684362,14,,4.962857,2.008608,23,3.299857,3.02087,,,144,20.659971,63
2026-04-16,2026-05-15,"AD 1 V2",not_delivering,"7-day click or 1-day view",4,actions:leadgen.other,1666,1.32473,55.5825,20,Daily,222.33,Ongoing,"Below average - Bottom 35% of ads",Average,"Below average - Bottom 35% of ads",2207,100.738559,57,,3.900526,2.582691,77,3.488899,2.887403,1,222.33,509,23.062981,184
2026-04-16,2026-05-15,"AD 1 V3",not_delivering,"7-day click or 1-day view",2,actions:leadgen.other,1014,1.270217,53.525,10,Daily,107.05,Ongoing,"Below average - Bottom 35% of ads",Average,Average,1288,83.113354,34,,3.148529,2.639752,51,3.959627,2.09902,,,276,21.428571,86
2026-04-16,2026-05-15,"AD 3",not_delivering,"7-day click or 1-day view",,,125,1.048,,"Using campaign budget",0,7.82,Ongoing,-,-,-,131,59.694656,2,,3.91,1.526718,3,2.290076,2.606667,,,34,25.954198,8
2026-04-16,2026-05-15,"AD 2",not_delivering,"7-day click or 1-day view",,,50,1.06,,"Using campaign budget",0,2.23,Ongoing,-,-,-,53,42.075472,1,,2.23,1.886792,2,3.773585,1.115,,,12,22.641509,3
2026-04-16,2026-05-15,"AD 2",not_delivering,"7-day click or 1-day view",,,37,1,,"Using campaign budget",0,2.55,Ongoing,-,-,-,37,68.918919,1,,2.55,2.702703,1,2.702703,2.55,,,10,27.027027,3
2026-04-16,2026-05-15,"AD 1",not_delivering,"7-day click or 1-day view",,,179,1.055866,,"Using campaign budget",0,14.63,Ongoing,-,-,-,189,77.407407,1,,14.63,0.529101,2,1.058201,7.315,,,39,20.634921,7
2026-04-16,2026-05-15,"AD 3",not_delivering,"7-day click or 1-day view",,,154,1.019481,,"Using campaign budget",0,6.04,Ongoing,-,-,-,157,38.471338,3,,2.013333,1.910828,3,1.910828,2.013333,,,36,22.929936,21
2026-04-16,2026-05-15,"AD 2",not_delivering,"7-day click or 1-day view",1,actions:leadgen.other,100,1.07,5.53,"Using campaign budget",0,5.53,Ongoing,-,-,-,107,51.682243,2,,2.765,1.869159,3,2.803738,1.843333,1,5.53,11,10.280374,6
2026-04-16,2026-05-15,"Insurance Owes You",active,"7-day click or 1-day view",,,563,1.115453,,50,Daily,60.08,Ongoing,-,-,-,628,95.66879,17,,3.534118,2.707006,23,3.66242,2.612174,,,133,21.178344,53
2026-04-16,2026-05-15,"Roof shoot 1",inactive,"7-day click or 1-day view",,,613,1.132137,,50,Daily,39.08,Ongoing,-,-,-,694,56.311239,22,,1.776364,3.170029,27,3.89049,1.447407,,,169,24.351585,70
2026-04-16,2026-05-15,"Roof Shoot 2",active,"7-day click or 1-day view",,,918,1.041394,,50,Daily,62.29,Ongoing,-,-,-,956,65.156904,21,,2.96619,2.196653,29,3.033473,2.147931,,,235,24.58159,85
2026-04-16,2026-05-15,"AD 1",not_delivering,"7-day click or 1-day view",,,567,1.209877,,"Using campaign budget",0,53.02,Ongoing,-,-,-,686,77.28863,11,,4.82,1.603499,22,3.206997,2.41,,,133,19.387755,35
2026-04-16,2026-05-15,"AD 1",not_delivering,"7-day click or 1-day view",,,178,1.039326,,"Using campaign budget",0,19.12,Ongoing,-,-,-,185,103.351351,3,,6.373333,1.621622,4,2.162162,4.78,,,43,23.243243,19
2026-04-16,2026-05-15,"AD 3",not_delivering,"7-day click or 1-day view",,,409,1.178484,,"Using campaign budget",0,29.15,Ongoing,-,-,-,482,60.477178,12,,2.429167,2.489627,18,3.73444,1.619444,,,104,21.576763,32
2026-04-16,2026-05-15,"AD 1",not_delivering,"7-day click or 1-day view",,,642,1.169782,,15,Daily,65.39,Ongoing,Average,Average,"Below average - Bottom 35% of ads",751,87.070573,19,,3.441579,2.52996,28,3.728362,2.335357,,,189,25.166445,59
2026-04-16,2026-05-15,"AD 3",not_delivering,"7-day click or 1-day view",,,786,1.184478,,15,Daily,59.8,Ongoing,-,-,-,931,64.232009,24,,2.491667,2.577873,32,3.437164,1.86875,,,241,25.886144,80
2026-04-16,2026-05-15,"AD 2",not_delivering,"7-day click or 1-day view",,,612,1.194444,,15,Daily,64.63,Ongoing,-,-,-,731,88.413133,31,,2.084839,4.240766,41,5.608755,1.576341,,,149,20.383037,56
2026-04-16,2026-05-15,"AD 4",not_delivering,"7-day click or 1-day view",1,actions:leadgen.other,635,1.100787,61.04,15,Daily,61.04,Ongoing,"Below average - Bottom 35% of ads",Average,"Below average - Bottom 35% of ads",699,87.32475,9,,6.782222,1.287554,18,2.575107,3.391111,,,162,23.175966,47
2026-04-16,2026-05-15,"AD 4 - 2",not_delivering,"7-day click or 1-day view",,,218,1.133028,,20,Daily,33.11,Ongoing,-,-,-,247,134.048583,6,,5.518333,2.42915,9,3.643725,3.678889,,,66,26.720648,13
2026-04-16,2026-05-15,"AD 3 - 2",not_delivering,"7-day click or 1-day view",,,171,1.040936,,20,Daily,14.56,Ongoing,-,-,-,178,81.797753,4,,3.64,2.247191,6,3.370787,2.426667,,,43,24.157303,16
2026-04-16,2026-05-15,"Why Pay Full Price",inactive,"7-day click or 1-day view",,,460,1.152174,,50,Daily,44.97,Ongoing,-,-,-,530,84.849057,12,,3.7475,2.264151,18,3.396226,2.498333,,,119,22.45283,39
